sku,url_key,errors
JS00TDN7-5KS,big-student-high-risk-red,
JS00TDN7-0K6,big-student-jansport-navy-night-sky,
JS00TDN7-0AK,big-student-lipstick-pink-tea-rose-ditzy,
TDN7-0AP,big-student-mammoth-blue-wild-at-heart,
JS00TDN7-0KH,big-student-midnight-sky-floral-stripe,
JS00TDN7-09V,big-student-multi-astro-kitty,
JS00TDN7-0XJ,big-student-multi-cali-poppy,
JS00TDN7-0KL,big-student-multi-concrete-floral,
JS00TDN7-0JE,big-student-multi-diamond-arrows,
JS00TDN7-09Y,big-student-multi-donuts,
JS00TDN7-0UE,big-student-multi-flower-explosion,
JS00TDN7-0KP,big-student-multi-frequency,
JS00TDN7-0VT,big-student-multi-garden-space,
JS00TDN7-0DQ,big-student-multi-hot-tropic,
JS00TDN7-0WR,big-student-multi-jungle-jam,
JS00TDN7-0JL,big-student-multi-lava-lamp,
JS00TDN7-0X1,big-student-multi-navy-connect-four,
JS00TDN7-0E2,big-student-multi-navy-mountain-meadow,
JS00TDN7-0AC,big-student-multi-o-x-o,
JS00TDN7-0JP,big-student-multi-ornate-blues,
JS00TDN7-0DU,big-student-multi-painted-ditzy,
TDN7-0AG,big-student-multi-peacock,
JS00TDN7-0JS,big-student-multi-saucy-chevron,
JS00TDN7-0WZ,big-student-multi-south-swell,
JS00TDN7-0UG,big-student-multi-speckled-space,
JS00TDN7-0KN,big-student-multi-stickers,
JS00TDN7-0E9,big-student-multi-sunset-stripe,
JS00TDN7-0JW,big-student-multi-texture-stripe,
JS00TDN7-0EM,big-student-multi-tropic-gold,
JS00TDN7-0KJ,big-student-multi-variegated-stripe,
JS00TDN7-0L2,big-student-multi-wet-sloth,
JS00TDN7-003,big-student-navy,
JS00TDN7-0VQ,big-student-navy-sweet-blossom,
JS00T75K-0NZ,big-student-overexposed-black-aqua-dash,
JS00T75K-1J0,big-student-overexposed-black-fluorescent-pink,
JS00T75K-02D,big-student-overexposed-black-galaxy,
JS00T75K-0N1,big-student-overexposed-coral-sparkle-white,
JS00T75K-0EL,big-student-overexposed-cyber-pink-rocksteady,
JS00T75K-0CX,big-student-overexposed-miss-zebra/mammoth-blue,
JS00T75K-0FZ,big-student-overexposed-multi-marble-prism,
TDN7-1W6,big-student-pink-pansy-confetti-dots,
JS00TDN7-0DG,big-student-purple-plum,
JS00TDN7-5XP,big-student-red-tape,
TDN7-06F,big-student-red-tape-grunge-stripe,
JS00TDN7-0N0,big-student-red-tape/land-ahoy,
JS00TDN7-0D6,big-student-seafom-green,
JS00TDN7-0K4,big-student-shady-grey-/-white-dots,
JS00TDN7-0VN,big-student-shady-grey-shadow-angles,
JS00TDN7-01H,big-student-spanish-teal,
JS00TDN7-0D5,big-student-tahitian-orange,
JS00TDN7-0P7,big-student-tahitian-orange-white-dots,
TDN7-9FL,big-student-viking-red,
TDN7-2C8,big-student-vivid-purple,
"T29N -9ZG",black-label-city-scout-aqua-dash,
TWK8-1Y9,black-label-superbreak-bayside-blue-zebra,
JS00T60G-0JH,black-label-superbreak-black-galaxy-plaid,
JS00T60G-0KG,black-label-superbreak-black-glitch-plaid,
JS00T60G-01F,black-label-superbreak-blue-crest,
JS00TWK8-0DC,black-label-superbreak-blue-topaz,
JS00T60G-04T,black-label-superbreak-burnt-henna,
JS00T60G-05W,black-label-superbreak-burnt-henna-abstract-angles,
JS00TWK8-0F3,black-label-superbreak-corsair-blue,
T60G-01B,black-label-superbreak-cyber-pink,
JS00T60G-0B1,black-label-superbreak-cyber-pink-tribal-artisan,
T60G-02A,black-label-superbreak-cyber-pink-tribal-ombre,
JS00T60G-6XD,black-label-superbreak-forge-grey,
JS00T60G-0HH,black-label-superbreak-jansport-navy,
JS00T60G-0E4,black-label-superbreak-multi-feather-famcy,
JS00T60G-0WW,black-label-superbreak-multi-fishing-lures,
JS00T60G-0VJ,black-label-superbreak-multi-paisley-stripe,
JS00T60G-0WF,black-label-superbreak-multi-turkish-dutch-floral,
JS00T60G-0E1,black-label-superbreak-multi-white-mountain-meadow,
JS00TWK8-0HC,black-label-superbreak-muted-green,
JS00TWK8-0HG,black-label-superbreak-sangria-pink,
JS00TWK8-0D6,black-label-superbreak-seafoam-green,
T75H-0AY,black-label-superbreak-special-edition-black-fading-spots,
T75H-09Q,black-label-superbreak-special-edition-black-green-tiger-camo-fade,
T75H-09L,black-label-superbreak-special-edition-blue-digi-stripe-fade,
T75H-0B0,black-label-superbreak-special-edition-violet-purple-geo-fade,
JS00TWK8-0DE,black-label-superbreak-spectra-yellow,
