sku,additional_attributes
T17C-5KS,"peso=5.6 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=15'' Laptop,dimensiones=15'' x 10.3'' x 0.8'' / 38 x 26 x 2cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 15'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=15'' Laptop,size=,type=DIGITAL,style=T17C"
T17C-9RW,"peso=5.6 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=15'' Laptop,dimensiones=15'' x 10.3'' x 0.8'' / 38 x 26 x 2cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 15'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=15'' Laptop,size=,type=DIGITAL,style=T17C"
T17C-1G4,"peso=5.6 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=15'' Laptop,dimensiones=15'' x 10.3'' x 0.8'' / 38 x 26 x 2cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 15'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=15'' Laptop,size=,type=DIGITAL,style=T17C"
T17C-1E5,"peso=5.6 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=15'' Laptop,dimensiones=15'' x 10.3'' x 0.8'' / 38 x 26 x 2cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 15'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=15'' Laptop,size=,type=DIGITAL,style=T17C"
T12G-9PC,"peso=8 oz / 0.2 kg,tela=Heat Embossed 600 Denier Polyester / Suede Leather,capacidad=15"" Laptop & Tablet,dimensiones=14.8"" x 10.8"" x 1"" / 37 x 26 x 2.5 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment fits 13'' or 15'' laptop / Internal tricot lined secondary tablet pocket / Vertical orientation optimized to fit in Jansport packs,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=15'' Laptop & Tablet,size=,type=DIGITAL,style=T12G"
T12G-212,"peso=8 oz / 0.2 kg,tela=Heat Embossed 600 Denier Polyester / Suede Leather,capacidad=15"" Laptop & Tablet,dimensiones=14.8"" x 10.8"" x 1"" / 37 x 26 x 2.5 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment fits 13'' or 15'' laptop / Internal tricot lined secondary tablet pocket / Vertical orientation optimized to fit in Jansport packs,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=15'' Laptop & Tablet,size=,type=DIGITAL,style=T12G"
T12G-6XJ,"peso=8 oz / 0.2 kg,tela=Heat Embossed 600 Denier Polyester / Suede Leather,capacidad=15"" Laptop & Tablet,dimensiones=14.8"" x 10.8"" x 1"" / 37 x 26 x 2.5 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment fits 13'' or 15'' laptop / Internal tricot lined secondary tablet pocket / Vertical orientation optimized to fit in Jansport packs,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=15'' Laptop & Tablet,size=,type=DIGITAL,style=T12G"
T12G-7PB,"peso=8 oz / 0.2 kg,tela=Heat Embossed 600 Denier Polyester / Suede Leather,capacidad=15"" Laptop & Tablet,dimensiones=14.8"" x 10.8"" x 1"" / 37 x 26 x 2.5 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment fits 13'' or 15'' laptop / Internal tricot lined secondary tablet pocket / Vertical orientation optimized to fit in Jansport packs,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=15'' Laptop & Tablet,size=,type=DIGITAL,style=T12G"
T27A-9PC,"peso=8 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=iPad version 2 an newer,dimensiones=9.8'' x 7.8'' x 0.8'' / 25 x 20 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Dynamic Velcro closure adapts to become a stand with two viewing angeles and one working angle / Soft sueded lining protects the screen / Camera lens cutout and direct access to all divice funtions / Magnetic sensor wakes and sleeps iPad .,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad version 2 an newer,size=,type=DIGITAL,style=T27A"
T27A-ZY1,"peso=8 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=iPad version 2 an newer,dimensiones=9.8'' x 7.8'' x 0.8'' / 25 x 20 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Dynamic Velcro closure adapts to become a stand with two viewing angeles and one working angle / Soft sueded lining protects the screen / Camera lens cutout and direct access to all divice funtions / Magnetic sensor wakes and sleeps iPad .,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad version 2 an newer,size=,type=DIGITAL,style=T27A"
