sku,configurable_variations
JS0A2T3C,"sku=JS0A2T3C-008,color=RIGHT POUCH BLACK|sku=JS0A2T3C-0U2,color=RIGHT POUCH BLACK/WHITE SUITED PLAID|sku=JS0A2T3C-0VE,color=RIGHT POUCH MULTI FLORAL FINESSE|sku=JS0A2T3C-0U3,color=RIGHT POUCH NAVY TWIGGY DOT JACQUARD|sku=JS0A2T3C-0D6,color=RIGHT POUCH SEAFOAM GREEN"
JS00T34J,"sku=JS00T34J-1X3,color=SINDER 15 BLACK GREY TAR|sku=JS00T34J-0BD,color=SINDER 15 BLACK JUNGLE MAZE|sku=T34J-5CS,color=SINDER 15 BLUE STREAK|sku=T34J-6XJ,color=SINDER 15 GREY TAR|sku=T34J-9FC,color=SINDER 15 PURPLE NIGHT"
T35V,"sku=T35V-5CS,color=SINDER 20 BLUE STREAK|sku=T35V-6XJ,color=SINDER 20 GREY TAR|sku=T35V-9FC,color=SINDER 20 PURPLE NIGHT"
T26U,"sku=T26U-1G2,color=SLIP CASE FOR IPHONE / BERRY LICIOUS VNT FRL CNVS|sku=T26U-1F3,color=SLIP CASE FOR IPHONE / BLACK MULTI SHORT CIRCUIT|sku=T26U-9XV,color=SLIP CASE FOR IPHONE / BLACK WHITE FLORECENT PINK MS ZEBRA|sku=T26U-1E5,color=SLIP CASE FOR IPHONE / PINK PANSY PRESTON PLAID"
T30S,"sku=T30S-1F3,color=SLIPCASE FOR IPHONE 5 BLACK MULTI SHORT CURCUIT|sku=T30S-9XV,color=SLIPCASE FOR IPHONE 5 BLACK WHITE PINK PANSY MISS ZEBRA|sku=T30S-1E5,color=SLIPCASE FOR IPHONE 5 PINK PANSY PRESTON PLAID|sku=T30S-1G2,color=SLIPCASE FOR IPHONE 5 WHITE VINTAGE FLORAL CANVAS"
TZA2,"sku=TZA2-9RW,color=SLIVER MAMMONTH BLUE|sku=TZA2-1H8,color=SLIVER MULTI GLOW BOX"
T27B,"sku=T27B-1G2,color=SNAPS STAND / BERRYLICIOUS VNT FRL CNVS|sku=T27B-1F3,color=SNAPS STAND / BLACK MULTI SHORT CIRCUIT|sku=T27B-9XV,color=SNAPS STAND / BLACK WHITE FLORECENT PINK MS ZEBRA|sku=T27B-ZM4,color=SNAPS STAND / FOR IPAD CORAL PEACHES WIL D HEART|sku=T27B-9RW,color=SNAPS STAND / MAMMOTH BLUE|sku=T27B-1E5,color=SNAPS STAND / PINK PANSY PRESTON PLAID"
JS00T55A,"sku=JS00T55A-008,color=SOURCE BLACK|sku=JS00T55A-0N2,color=SOURCE GREY VANISHING RIP"
JS00TDH7,"sku=JS00TDH7-008,color=SPRING BREAK BLACK|sku=JS00TDH7-01F,color=SPRING BREAK BLUE CREST|sku=JS00TDH7-8WG,color=SPRING BREAK CORAL SPARKLE|sku=JS00TDH7-01B,color=SPRING BREAK CYBER PINK|sku=JS00TDH7-6XD,color=SPRING BREAK FORGE GREY|sku=TDH7-0AA,color=SPRING BREAK BLACK LUCKY DAISY|sku=JS00TDH7-9RW,color=SPRING BREAK MAMMOTH BLUE|sku=JS00TDH7-0XJ,color=SPRING BREAK MULTI CALI POPPY|sku=JS00TDH7-0KL,color=SPRING BREAK MULTI CONCRETE FLORAL|sku=JS00TDH7-0VT,color=SPRING BREAK MULTI GARDEN SPACE|sku=JS00TDH7-0X1,color=SPRING BREAK MULTI NAVY CONNECT FOUR|sku=JS00TDH7-0JP,color=SPRING BREAK MULTI ORNATE BL|sku=JS00TDH7-0UG,color=SPRING BREAK MULTI SPECKLED SPACE|sku=JS00TDH7-0KN,color=SPRING BREAK MULTI STICKERS|sku=JS00TDH7-0EM,color=SPRING BREAK MULTI TROPIC GOLD|sku=TDH7-003,color=SPRING BREAK NAVY|sku=JS00TDH7-003,color=SPRING BREAK NAVY|sku=JS00TDH7-0K4,color=SPRING BREAK SHADY GREY WHITE"
JS00T64Q,"sku=JS00T64Q-0F8,color=SUPER FX BLACK SPLATTER DENIM|sku=JS00T64Q-0FP,color=SUPER FX BLACK WHITE LETTERMAN|sku=JS0A2SDR-0UQ,color=SUPER FX BLACK/GOLD|sku=T64Q-02S,color=SUPER FX BURRITO (PREPACK) NAVY MOONNSHINE ANCHORS AWAY|sku=JS00TVP8-0LM,color=SUPER FX CORAL PEACHES METALLIC COAT|sku=TVP8-03G,color=SUPER FX DARK BLUE DENIM LASER STAR|sku=JS0A2SDR-0TR,color=SUPER FX GOLD 3D STARS|sku=JS00T64Q-0LF,color=SUPER FX JANSPORT NAVY HERRINGBONE STRIPE|sku=JS00TVP8-0LN,color=SUPER FX MULTI PALM DENIM|sku=JS00TVP8-0YT,color=SUPER FX MULTI PATCHWORK POSEY|sku=JS00T64Q-0LQ,color=SUPER FX MULTI SUNRISE|sku=JS00T64Q-0FF,color=SUPER FX MULTI SURF STRIPE|sku=TVP8-04P,color=SUPER FX NAVY UNION JACK|sku=JS00TVP8-0GG,color=SUPER FX PEWTER METALLIC COAT|sku=JS00TVP8-0GH,color=SUPER FX RED METALLIC COAT|sku=JS0A2SDR-0VY,color=SUPER FX SILVER PSY CHEDELIC|sku=JS00TVP8-0LP,color=SUPER FX SILVER SPARKLE TWILL|sku=JS00TVP8-0KZ,color=SUPER FX WHITE DENIM EMBLEM"
JS00T501,"sku=JS00T501-0DH,color=SUPERBREAK  AMAZON GREEN|sku=JS00T501-0DQ,color=SUPERBREAK  MULTI HOT TROPIC|sku=T501-9ZG,color=SUPERBREAK AQUA DASH|sku=JS00T501-9ZG,color=SUPERBREAK AQUA DASH|sku=JS00T501-0JJ,color=SUPERBREAK AQUA DASH JAGGED PLAID|sku=JS00T501-0WT,color=SUPERBREAK AQUA DASH SCRIBBLED INK|sku=T501-ZN6,color=SUPERBREAK AQUA DASH SPOTS|sku=JS00T501-0JT,color=SUPERBREAK AQUA DASH STATIC|sku=T501-1Y9,color=SUPERBREAK BAYSIDEBLINTERRUPTED ZEBRA|sku=JS00T501-008,color=SUPERBREAK BLACK|sku=JS00T501-0KM,color=SUPERBREAK BLACK ARCADE PLAID|sku=JS00T501-09Z,color=SUPERBREAK BLACK ELE FANCY|sku=JS00T501-0AA,color=SUPERBREAK BLACK LUCKY DAISY|sku=T501-0AA,color=SUPERBREAK BLACK LUCKY DAISY|sku=JS00T501-0JR,color=SUPERBREAK BLACK PAINTBALL|sku=T501-06N,color=SUPERBREAK BLACK SUPERHERO|sku=JS00T501-0LC,color=SUPERBREAK BLACK TONAL USA|sku=JS00T501-06Q,color=SUPERBREAK BLACK ZIGGY|sku=JS00T501-0EK,color=SUPERBREAK Black/White Bebop|sku=JS00T501-01F,color=SUPERBREAK BLUE CREST|sku=T501-5CS,color=SUPERBREAK BLUE STREAK|sku=JS00T501-5CS,color=SUPERBREAK BLUE STREAK|sku=JS00T501-0DR,color=SUPERBREAK BLUE TOPAZ OH BANANAS|sku=T501-9SA,color=SUPERBREAK CORAL PEACHES|sku=JS00T501-01B,color=SUPERBREAK CYBER PINK|sku=JS00T501-0EG,color=SUPERBREAK CYBER PINK BLOCK FLORAL|sku=JS00T501-0ED,color=SUPERBREAK CYBER PINK SUMMER CHEVRON|sku=JS00T501-ZU3,color=SUPERBREAK DESERT BEIGE CONFL|sku=JS00T501-0EF,color=SUPERBREAK DOWN TOWN BROWN CAMO STRIPE|sku=JS00T501-04W,color=SUPERBREAK FIELD TAN|sku=JS00T501-1Q4,color=SUPERBREAK FLUORECENT RED|sku=JS00T501-9RX,color=SUPERBREAK FLUORESCENT PINK|sku=T501-6XD,color=SUPERBREAK FORGE GREY|sku=JS00T501-0WS,color=SUPERBREAK GOOSE GREY URBAN OASIS|sku=JS00T501-0BE,color=SUPERBREAK GREY RABBIT SYLVIA DOT|sku=T501-0A5,color=SUPERBREAK HIGH RISK RED HEART TO RESIST|sku=JS00T501-0K6,color=SUPERBREAK JANSPORT NAVY NIGHT SKY|sku=T501-9RW,color=SUPERBREAK MAMMOTH BLUE|sku=JS00T501-0KH,color=SUPERBREAK MIDNIGHT SKY FLORAL STRIPE|sku=T501-0BF,color=SUPERBREAK MULTI  PURPLE DRIP DYE|sku=JS00T501-ZQ1,color=SUPERBREAK MULTI BLUE DRIP DYE|sku=JS00T501-0GB,color=SUPERBREAK MULTI BLUE ICE|sku=JS00T501-0KQ,color=SUPERBREAK MULTI BUTCHER BLOCK|sku=JS00T501-0K8,color=SUPERBREAK MULTI CALIFORNIA POPPY|sku=JS00T501-0DY,color=SUPERBREAK MULTI COMIC STRIP|sku=JS00T501-0KL,color=SUPERBREAK MULTI CONCRETE FLORAL|sku=JS00T501-0WA,color=SUPERBREAK MULTI DESERT MIRAGE|sku=JS00T501-0JE,color=SUPERBREAK MULTI DIAMOND ARROWS|sku=JS00T501-0JF,color=SUPERBREAK MULTI DOTTY STRIPE|sku=JS00T501-0W0,color=SUPERBREAK MULTI FAST LINES|sku=T501-0A0,color=SUPERBREAK MULTI FIREWORKS|sku=JS00T501-0UE,color=SUPERBREAK MULTI FLOWER EXPLOSION|sku=JS00T501-0KP,color=SUPERBREAK MULTI FREQUENCY|sku=JS00T501-0VT,color=SUPERBREAK MULTI GARDEN SPACE|sku=JS00T501-0A1,color=SUPERBREAK MULTI GREY FLORAL FLOURISH|sku=JS00T501-0WR,color=SUPERBREAK MULTI JUNGLE JAM|sku=JS00T501-0B5,color=SUPERBREAK MULTI JUNK FOOD|sku=JS00T501-0JL,color=SUPERBREAK MULTI LAVA LAMP|sku=JS00T501-0JM,color=SUPERBREAK MULTI LOST MARBLES|sku=JS00T501-0X1,color=SUPERBREAK MULTI NAVY CONNECT FOUR|sku=JS00T501-0E2,color=SUPERBREAK MULTI NAVY MOUNTAIN MEADOW|sku=T501-ZJ5,color=SUPERBREAK MULTI ORIENTAL BLOOM|sku=JS00T501-0JP,color=SUPERBREAK MULTI ORNATE BLUES|sku=JS00T501-0AC,color=SUPERBREAK MULTI OXO|sku=JS00T501-0DU,color=SUPERBREAK MULTI PAINTED DITZY|sku=JS00T501-0AF,color=SUPERBREAK MULTI PAINTED STONES|sku=T501-0AG,color=SUPERBREAK MULTI PEACOCK|sku=JS00T501-0EJ,color=SUPERBREAK MULTI POOL PARTY|sku=T501-0AD,color=SUPERBREAK MULTI PURPLE OMBRE DAISY|sku=JS00T501-0JS,color=SUPERBREAK MULTI SAUCY CHEVRON|sku=JS00T501-0WZ,color=SUPERBREAK MULTI SOUTH SWELL|sku=JS00T501-0KN,color=SUPERBREAK MULTI STICKERS|sku=JS00T501-0VW,color=SUPERBREAK MULTI SUMMER FESTIVAL|sku=JS00T501-0E9,color=SUPERBREAK MULTI SUNSET STRIPE|sku=JS00T501-0JU,color=SUPERBREAK MULTI SUPER SWIRLS|sku=JS00T501-0JV,color=SUPERBREAK MULTI SWEATER KNIT|sku=JS00T501-0JW,color=SUPERBREAK MULTI TEXTURE STRIPE|sku=JS00T501-0JX,color=SUPERBREAK MULTI TIE DYE SWIRLS|sku=JS00T501-0EM,color=SUPERBREAK MULTI TROPIC GOLD|sku=JS00T501-0JY,color=SUPERBREAK MULTI WATERCOLOR ANGLES|sku=JS00T501-0AN,color=SUPERBREAK Multi Watercolor Spots|sku=JS00T501-0L2,color=SUPERBREAK MULTI WET SLOTH|sku=JS00T501-0VZ,color=SUPERBREAK MULTI WHITE FLORAL HAZE|sku=JS00T501-0KJ,color=SUPERBREAK MULTIVARIEGATED STRIPE|sku=JS00T501-003,color=SUPERBREAK NAVY|sku=T501-003,color=SUPERBREAK NAVY|sku=JS00T501-0DS,color=SUPERBREAK NAVY MOONSHINEISLANDOMBRE|sku=JS00T501-0VQ,color=SUPERBREAK NAVY SWEET BLOSSOM|sku=JS00T501-0DG,color=SUPERBREAK PURPLE PLUM|sku=T501-09P,color=SUPERBREAK RED NEW CALIFORNIA REPUBLIC|sku=JS00T501-5XP,color=SUPERBREAK RED TAPE|sku=JS00T501-0N0,color=SUPERBREAK RED TAPE LAND AHOY|sku=JS00T501-0D6,color=SUPERBREAK SEAFOAM GREEN|sku=JS00T501-0K4,color=SUPERBREAK SHADY GREY / WHITE DOTS|sku=JS00T501-0VN,color=SUPERBREAK SHADY GREY SHADOW ANGLES|sku=JS00T501-0K7,color=SUPERBREAK SHADY GREY STITCH PLAID|sku=JS00T501-01H,color=SUPERBREAK SPANISH TEAL|sku=T501-9FG,color=SUPERBREAK SWEDISH BLUE|sku=JS00T501-0D5,color=SUPERBREAK TAHITIAN ORANGE|sku=JS00T501-0P7,color=SUPERBREAK TAHITIAN ORANGE WHITE DOTS|sku=JS00T501-9FL,color=SUPERBREAK VIKING RED|sku=JS00T501-05B,color=SUPERBREAK VIOLET PURPLE|sku=T501-2C8,color=SUPERBREAK VIVID PURPLE|sku=T501-WHX,color=SUPERBREAK WHITE|sku=T501-1S4,color=SUPERBREAK WHITE BLACK GRACIE DOT|sku=JS00T501-7MM,color=SUPERBREAK YELLOW CARD|sku=JS00T501-06B,color=SUPERBREAK ZAP GREEN DOUBLE VISION"
JS00T54S,"sku=JS00T54S-008,color=TASKER BLACK|sku=T54S-008,color=TASKER BLACK"
T26Q,"sku=T26Q-5SM,color=THUNDERCLAP BUCKTHORN BROWN|sku=T26Q-6XJ,color=THUNDERCLAP GREY TAR|sku=T26Q-9FL,color=THUNDERCLAP VIKING RED"
T08U,"sku=T08U-9ZI,color=WAISTLAND BERRYLICIOUS PURPLE|sku=T08U-1J6,color=WAISTLAND GREY DENIM POLKA DOT"
JS00THE9,"sku=JS00THE9-0JJ,color=WHEELED SUPERBREAK AQUA DASH JAGGED PLAID|sku=THE9-008,color=WHEELED SUPERBREAK BLACK|sku=JS00THE9-008,color=WHEELED SUPERBREAK BLACK|sku=THE9-9QC,color=WHEELED SUPERBREAK BLUE STREAK TONE DEAF|sku=THE9-ZD9,color=WHEELED SUPERBREAK CORAL DUSK SIDEWAYS PLAID|sku=THE9-ZT8,color=WHEELED SUPERBREAK CORAL DUSK SPOTS|sku=JS00THE9-01B,color=WHEELED SUPERBREAK CYBER PINK|sku=JS00THE9-0ED,color=WHEELED SUPERBREAK CYBER PINK SUMMER CHEVRON|sku=THE9-ZY9,color=WHEELED SUPERBREAK FLUORESCENT PINK  ORANGE TEAM|sku=THE9-0A5,color=WHEELED SUPERBREAK HIGH RISH RED HEART TO RESIST|sku=JS00THE9-0KL,color=WHEELED SUPERBREAK MULTI CONCRETE FLORAL|sku=JS00THE9-0UE,color=WHEELED SUPERBREAK MULTI FLOWER EXPLOSION|sku=THE9-ZF6,color=WHEELED SUPERBREAK MULTI NEON GALAXY|sku=JS00THE9-0DU,color=WHEELED SUPERBREAK MULTI PAINTED DITZY|sku=JS00THE9-0UG,color=WHEELED SUPERBREAK MULTI SPECKLED SPACE|sku=JS00THE9-0JW,color=WHEELED SUPERBREAK MULTI TEXTURE STRIPE|sku=THE9-0AN,color=WHEELED SUPERBREAK MULTI WATERCOLOR SPOTS|sku=THE9-003,color=WHEELED SUPERBREAK NAVY|sku=THE9-9QX,color=WHEELED SUPERBREAK PINK PREP HIPPY SKIP|sku=THE9-9HY,color=WHEELED SUPERBREAK PURPLE SKY MULTI WATERCOLOR"
JS0A2T3A,"sku=JS0A2T3A-0JB,color=WOMEN S NODE CORAL SPARKLE PRETTY POSEY|sku=JS0A2T3A-0J8,color=WOMEN S NODE JANSPORT NAVY WATERCOLOR CHEVRON|sku=JS0A2T3A-0D6,color=WOMEN S NODE SEAFOAM GREENsku=T26Z,color=1.0 FOLIO FOR IPADsku=T17E,color=1.0 TABLET SLEEVEsku=T17D,color=13'' 1.0 LAPTOP SLEEVEsku=T12H,color=13'' 2.0 LAPTOP SLEEVEsku=T17C,color=15'' 1.0 LAPTOP SLEEVEsku=T12G,color=15'' 2.0 LAPTOP SLEEVEsku=T27A,color=2.0 FOLIO FOR IPADsku=T12J,color=2.0 TABLET SLEEVEsku=JS00T69J,color=ABBIEsku=JS00T14F,color=AGAVEsku=T26L,color=ALL PURPOSE BACKPACKsku=JS00T71A,color=AUSTIN BACKPACKsku=T49A,color=BASSIC ACCESORYsku=JS0A2T3B,color=BEACON BACKPACKsku=T50A,color=BEATNIK"
